clinic_id,site_name,site_type,city,country,indication,prevalence_source,heart_disease_prevalence_per_100k,catchment_population,estimated_patient_pool,historical_study_1_enrolled,historical_study_1_months,historical_study_1_rate_per_month,historical_study_2_enrolled,historical_study_2_months,historical_study_2_rate_per_month,historical_study_3_enrolled,historical_study_3_months,historical_study_3_rate_per_month,historical_avg_recruitment_rate_per_month,historical_trials_completed,historical_retention_rate_pct,contract_execution_days,admin_efficiency_score,prescreened_count_30d,eligible_count_30d,screen_failure_rate_pct,prescreen_to_enroll_conversion_pct,input_data_quality_score,recruitment_likelihood_score,recruitment_likelihood_class
CLN-001,Berlin Heart & Vascular Center,clinic,Berlin,DE,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,8859,528192,46793,56,6,9.3,99,12,8.2,47,6,7.8,8.4,2,80.1,27,90.1,54,18,66.7,20.9,88.3,47.8,Low
CLN-002,Charite University Hospital,university,Berlin,DE,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,9674,281456,27228,325,15,21.7,107,6,17.8,228,9,25.3,22.0,4,88.9,55,64.9,180,67,62.8,28.6,78.1,80.8,High
CLN-003,Munich Cardiology Institute,hospital,Munich,DE,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,9736,280400,27300,131,12,10.9,67,6,11.2,58,6,9.7,10.7,3,78.2,36,82.0,107,49,54.2,32.3,85.0,61.0,Medium
CLN-004,Hamburg Clinical Research Center,clinic,Hamburg,DE,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,8804,1495758,131687,77,15,5.1,81,12,6.8,75,15,5.0,5.5,2,79.9,36,82.0,123,47,61.8,32.6,99,57.2,Medium
CLN-005,Cologne University Medical Center,university,Cologne,DE,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,7993,690171,55165,65,12,5.4,63,9,7.0,53,9,5.9,6.0,4,98,76,46.0,49,21,57.1,25.1,85.5,51.5,Low
CLN-006,Frankfurt CardioCare Hospital,hospital,Frankfurt,DE,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,9970,1604585,159977,95,15,6.3,105,12,8.8,47,6,7.8,7.5,2,95.7,38,80.2,145,38,73.8,18.7,88.9,60.8,Medium
CLN-007,Boston Heart Research Hospital,hospital,Boston,US,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,10512,509404,53549,137,15,9.1,123,9,13.7,135,12,11.2,11.0,4,84.5,55,64.9,94,32,66.0,32.1,91.8,65.6,Medium
CLN-008,Cleveland Cardiovascular Clinic,clinic,Cleveland,US,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,10403,1497904,155827,111,12,9.2,88,15,5.9,75,12,6.2,7.0,3,84.4,42,76.6,92,27,70.7,15.3,89.1,56.4,Medium
CLN-009,Toronto University Health Network,university,Toronto,CA,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,9949,1001506,99640,152,12,12.7,195,15,13.0,90,9,10.0,12.1,5,87.1,63,57.7,164,78,52.4,31.4,75.5,70.4,Medium
CLN-010,Montreal Heart Institute,hospital,Montreal,CA,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,9013,338698,30527,128,15,8.5,90,9,10.0,108,15,7.2,8.4,4,72.3,53,66.7,103,45,56.3,27.1,88.4,55.9,Medium
CLN-011,London Academic Cardiology Hospital,university,London,UK,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,9753,285471,27842,234,15,15.6,261,15,17.4,178,15,11.9,15.0,3,85.3,59,61.3,117,58,50.4,31.6,75.0,65.8,Medium
CLN-012,Manchester Heart Clinic,clinic,Manchester,UK,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,10668,727914,77654,57,6,9.5,164,15,10.9,39,9,4.3,8.7,4,82.6,16,100,122,63,48.4,18.8,91.1,64.7,Medium
CLN-013,Paris Cardiometabolic Hospital,hospital,Paris,FR,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,7104,303335,21549,127,12,10.6,112,12,9.3,134,15,8.9,9.6,3,81.7,45,73.9,86,21,75.6,31.8,86.9,55.1,Medium
CLN-014,Lyon University Cardiology Center,university,Lyon,FR,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,8978,784014,70389,148,9,16.4,153,12,12.8,133,6,22.2,16.1,4,92.4,66,55.0,177,83,53.1,31.6,87.4,65.7,Medium
CLN-015,Amsterdam Heart Trial Clinic,clinic,Amsterdam,NL,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,9105,535026,48714,76,9,8.4,194,15,12.9,51,6,8.5,10.7,3,82.2,41,77.5,91,38,58.2,28.6,84.5,56.9,Medium
CLN-016,Zurich Cardiology Hospital,hospital,Zurich,CH,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,6750,992910,67021,34,6,5.7,38,9,4.2,35,9,3.9,4.5,4,85.0,34,83.8,104,24,76.9,7,87.6,47.1,Low
CLN-017,Vienna Heart Institute,hospital,Vienna,AT,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,9117,1117291,101863,93,15,6.2,60,9,6.7,65,12,5.4,6.1,4,91.8,49,70.3,106,54,49.1,16.8,95.0,51.1,Low
CLN-018,Copenhagen University Hospital,university,Copenhagen,DK,Heart disease,Synthetic placeholder; replace with CDC WONDER or local epidemiology source,8810,1594365,140464,40,9,4.4,75,12,6.2,74,15,4.9,5.2,2,93.1,60,60.4,108,48,55.6,23.7,81.1,52.2,Low
